Date,Orquestra,Title,Singer,Style,Composer,Author
1929-04-26,Dir. Trío Enrique Delfino,Adiós que te vaya bien,Ada FALCON,TANGO,Enrique Delfino,Andrés González del Solar
1929-08-12,Dir. Francisco Canaro,Sos bueno vos también,Ada FALCON,TANGO,Francisco Canaro,Juan Andrés Caruso
1929-09-19,Dir. Francisco Canaro,La morocha,Ada FALCON,TANGO,Enrique Saborido,Angel Villoldo
1929-09-19,Dir. Francisco Canaro,La virgen del perdón,Ada FALCON,VALS,Carlos Vicente Geroni Flores,Vicente Retta
1929-09-19,Dir. Francisco Canaro,Tengo miedo (2),Ada FALCON,TANGO,Daniel Moreno Saavedra,Daniel Moreno Saavedra
1929-10-16,Dir. Francisco Canaro,Noches de plata,Ada FALCON,VALS,Rafael Iriarte,Julio Navarrine
1930-04-11,Dir. Francisco Canaro,Allá en el monte,Ada FALCON,VALS,Francisco Canaro,Francisco Canaro
1930-05-21,Dir. Francisco Canaro,Amante soñador (Dream lover),Ada FALCON,VALS,Víctor Schertzinger, 
1930-05-28,Dir. Francisco Canaro,Sentimiento gaucho,Ada FALCON,TANGO,Francisco Canaro y Rafael Canaro,Juan Andrés Caruso
1930-06-11,Dir. Francisco Canaro,Corazón de oro,Ada FALCON,VALS,Francisco Canaro,Jesús Fernández Blanco
1930-06-17,Dir. Francisco Canaro,Cascabelito,Ada FALCON,TANGO,José Bohr,Juan Andrés Caruso
1930-07-01,Dir. Francisco Canaro,Destellos,Ada FALCON,TANGO,Francisco Canaro,Juan Andrés Caruso
1930-07-11,Dir. Francisco Canaro,Cuando llora la milonga,Ada FALCON,TANGO,Juan de Dios Filiberto,María Luisa Carnelli
1930-09-17,Dir. Francisco Canaro,Yira yira,Ada FALCON,TANGO,Enrique Santos Discepolo,Enrique Santos Discepolo
1930-09-17,Dir. Francisco Canaro,Yo no sé que me han hecho tus ojos,Ada FALCON,VALS,Francisco Canaro,Francisco Canaro
1930-09-24,Dir. Francisco Canaro,Dónde estás corazón,Ada FALCON,TANGO,Luis Martínez Serrano y Augusto Berto,Luis Martínez Serrano
