search_name,real_name,nickname,category,dates,place_of_birth,biography_link
Adolfo Carabelli,"Carabelli, Adolfo Leandro", ,"Pianist, composer and leader",(8 September 1893 - 25 January 1947),Place of birth: San Fernando (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/89/Adolfo-Carabelli/
Ahumada Bonano,, ,,(n/d - ),Place of birth: , 
Alberto Di Paulo,"Di Paolo, Antonio J.", ,"Bandoneonist, leader, composer and arranger",(12 July 1929 - 13 July 2011),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1026/Alberto-Di-Paulo/
Alberto Mancione,"Tortora, Genaro", ,"Bandoneonist, leader and composer",(8 October 1915 - 4 July 1998),Place of birth: Buenos Aires Argentina, 
Alejandro Scarpino,"Scarpino, Alejandro", ,"Bandoneonist, leader and composer",(16 January 1904 - 27 May 1970),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1374/Alejandro-Scarpino/
Alfredo Attadia,"Attadía, Alfredo Adolfo",Nicknames: El Bandoneón de Oro,"Bandoneonist, composer and leader",(9 January 1914 - 30 January 1982),Place of birth: San Martín (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/934/Alfredo-Attadia/
Alfredo De Angelis,"De Angelis, Alfredo",Nicknames: Diego Anson/El colorado,"Pianist, leader and composer.",(2 November 1910 - 31 March 1992),Place of birth: Adrogué (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/33/Alfredo-De-Angelis/
Alfredo Gobbi,"Gobbi, Alfredo Julio Floro",Nicknames: El violín romántico del tango,"Violinist, leader and composer",(14 May 1912 - 21 May 1965),Place of birth: París France,https://www.todotango.com/english/artists/biography/42/Alfredo-Gobbi/
Alfredo Malerba,"Malerba, Antonio Alfredo", ,"Pianist, leader, composer.",(24 September 1909 - 9 January 1994),Place of birth: Buenos Aires Argentina, 
Americo Belloto,,Nicknames: Don Américo,Violinist and leader,(30 April 1913 - 30 April 1965),Place of birth: , 
Angel Condercuri,"Condercuri, Ángel Félix",Nicknames: Del Conde,"Bandoneonist, leader, arranger and composer",(2 August 1912 - 15 September 1996),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1300/angel-Condercuri/
Angel D'Agostino,"D'Agostino, Ángel Domingo Emilio", ,"Pianist, composer and leader",(25 May 1900 - 16 January 1991),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/31/angel-DAgostino/
Anibal Troilo,"Troilo, Aníbal Carmelo",Nicknames: Pichuco,"Bandoneon player, leader and composer.",(11 July 1914 - 19 May 1975),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/50/Anibal-Troilo/
Anselmo Aieta,"Aieta, Anselmo Alfredo","Nicknames: Ricardo Aieta, Pepe Soles y Lagaña","Bandoneonist, composer and leader",(5 November 1896 - 25 September 1964),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1/Anselmo-Aieta/
Antonio Bonavena,"Bonavena, Antonio", ,"Bandoneonist, leader and composer",(14 March 1896 - 22 July 1960),Place of birth: San Costantino de Briatico (Vibo Valentia) Italy,https://www.todotango.com/english/artists/biography/867/Antonio-Bonavena/
Antonio Rodio,"Rodio, Antonio", ,"Violinist, leader and composer",(25 January 1904 - 1 June 1980),Place of birth: Crispiano (Tarento) Italy,https://www.todotango.com/english/artists/biography/47/Antonio-Rodio/
Argentino Galvan,"Galván, Argentino Liborio", ,"Violinist, arranger, leader and composer",(13 July 1913 - 8 November 1960),Place of birth: Chivilcoy (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/822/Argentino-Galvan/
Armando Cupo,"Cupo, Oscar Armando", ,"Pianist, leader and composer",(26 December 1921 - 21 July 1990),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1057/Armando-Cupo/
Armando Lacava,"Lacava, Armando", ,"Pianist, bandleader, arranger and composer",(12 December 1915 - 8 April 1989),Place of birth: Bahía Blanca (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/1492/Armando-Lacava/
